Short name,Date,N.PRB.UL.DrbUsed.Avg[%],N.ThpVol.UL,N.User.RRCConn.Active.UL.Avg
cell230,2025-02-14 00:00:00,0.3153846153846154,16190.448,0.081
cell230,2025-02-14 00:15:00,0.0019230769230769232,11.552,0.0
cell230,2025-02-14 00:30:00,0.0,0.04,0.0
cell230,2025-02-14 00:45:00,0.0038461538461538464,103.104,0.002
cell230,2025-02-14 01:00:00,0.0,0.12,0.0
cell230,2025-02-14 01:15:00,0.01346153846153846,476.52,0.004
cell230,2025-02-14 01:30:00,0.0,0.04,0.0
cell230,2025-02-14 01:45:00,0.0,0.16,0.0
cell230,2025-02-14 02:00:00,0.0,0.08,0.0
cell230,2025-02-14 02:15:00,0.0,0.0,0.0
cell230,2025-02-14 02:30:00,0.0,0.68,0.0
cell230,2025-02-14 02:45:00,0.0038461538461538464,57.84,0.001
cell230,2025-02-14 03:00:00,0.0,0.08,0.0
cell230,2025-02-14 03:15:00,0.0,0.04,0.0
cell230,2025-02-14 03:30:00,0.0,1.72,0.0
cell230,2025-02-14 03:45:00,0.0019230769230769232,44.928,0.001
cell230,2025-02-14 04:00:00,0.0,0.12,0.0
cell230,2025-02-14 04:15:00,0.0,0.04,0.0
cell230,2025-02-14 04:30:00,0.0,0.08,0.0
cell230,2025-02-14 04:45:00,0.0,0.544,0.0
cell230,2025-02-14 05:00:00,0.009615384615384616,228.6,0.005
cell230,2025-02-14 05:15:00,0.0019230769230769232,1.024,0.002
cell230,2025-02-14 05:30:00,0.023076923076923075,688.504,0.003
cell230,2025-02-14 05:45:00,0.0,0.08,0.0
cell230,2025-02-14 06:00:00,0.0038461538461538464,158.92,0.002
cell230,2025-02-14 06:15:00,0.0038461538461538464,85.152,0.002
cell230,2025-02-14 06:30:00,0.03653846153846154,1447.072,0.008
cell230,2025-02-14 06:45:00,0.03076923076923077,576.08,0.008
cell230,2025-02-14 07:00:00,0.0,0.2,0.001
cell230,2025-02-14 07:15:00,0.005769230769230769,15.088,0.003
cell230,2025-02-14 07:30:00,0.01346153846153846,432.008,0.003
cell230,2025-02-14 07:45:00,0.09038461538461538,3745.192,0.016
cell230,2025-02-14 08:00:00,0.15192307692307694,3170.544,0.028
cell230,2025-02-14 08:15:00,0.11923076923076924,3986.464,0.031
cell230,2025-02-14 08:30:00,0.08846153846153847,3436.44,0.016
cell230,2025-02-14 08:45:00,0.023076923076923075,584.944,0.009
cell230,2025-02-14 09:00:00,0.14615384615384616,9337.072,0.038
cell230,2025-02-14 09:15:00,0.025,722.184,0.008
cell230,2025-02-14 09:30:00,0.41538461538461535,27839.0,0.052
cell230,2025-02-14 09:45:00,0.038461538461538464,3204.984,0.008
cell230,2025-02-14 10:00:00,0.038461538461538464,1620.712,0.011
cell230,2025-02-14 10:15:00,0.2403846153846154,4612.824,0.057
cell230,2025-02-14 10:30:00,0.09807692307692308,4503.64,0.027
cell230,2025-02-14 10:45:00,0.2403846153846154,11688.816,0.057
cell230,2025-02-14 11:00:00,0.18846153846153849,10641.256,0.054
cell230,2025-02-14 11:15:00,0.5942307692307692,29925.568,0.132
cell230,2025-02-14 11:30:00,0.6230769230769231,19931.976,0.124
cell230,2025-02-14 11:45:00,0.19423076923076923,5264.12,0.036
cell230,2025-02-14 12:00:00,0.1673076923076923,7729.712,0.032
cell230,2025-02-14 12:15:00,0.4403846153846154,23401.912,0.114
cell230,2025-02-14 12:30:00,0.03076923076923077,840.92,0.013
cell230,2025-02-14 12:45:00,0.4846153846153846,14982.504,0.049
cell230,2025-02-14 13:00:00,0.07115384615384615,1187.008,0.022
cell230,2025-02-14 13:15:00,0.19615384615384615,5651.072,0.052
cell230,2025-02-14 13:30:00,0.21538461538461537,10639.24,0.056
cell230,2025-02-14 13:45:00,0.03461538461538461,1058.352,0.013
cell230,2025-02-14 14:00:00,0.07307692307692308,1518.432,0.022
cell230,2025-02-14 14:15:00,0.10576923076923077,3577.0,0.029
cell230,2025-02-14 14:30:00,0.17884615384615385,4954.088,0.056
cell230,2025-02-14 14:45:00,0.2519230769230769,11240.184,0.068
cell230,2025-02-14 15:00:00,0.4788461538461538,27454.032,0.087
cell230,2025-02-14 15:15:00,0.09423076923076924,4058.984,0.022
cell230,2025-02-14 15:30:00,0.05384615384615384,672.416,0.009
cell230,2025-02-14 15:45:00,0.0846153846153846,2018.936,0.027
cell230,2025-02-14 16:00:00,0.05961538461538462,1339.0,0.019
cell230,2025-02-14 16:15:00,0.023076923076923075,474.368,0.011
cell230,2025-02-14 16:30:00,0.28846153846153844,23561.392,0.056
cell230,2025-02-14 16:45:00,0.07115384615384615,2404.256,0.028
cell230,2025-02-14 17:00:00,0.032692307692307694,1281.688,0.009
cell230,2025-02-14 17:15:00,0.019230769230769232,681.832,0.006
cell230,2025-02-14 17:30:00,0.31346153846153846,9004.56,0.068
cell230,2025-02-14 17:45:00,0.05961538461538462,5736.912,0.012
cell230,2025-02-14 18:00:00,0.05,1284.424,0.012
cell230,2025-02-14 18:15:00,0.09038461538461538,3282.856,0.019
cell230,2025-02-14 18:30:00,0.06923076923076922,2277.872,0.019
cell230,2025-02-14 18:45:00,0.017307692307692305,227.176,0.004
cell230,2025-02-14 19:00:00,0.03461538461538461,1156.32,0.01
cell230,2025-02-14 19:15:00,0.05576923076923078,1528.192,0.016
cell230,2025-02-14 19:30:00,0.09615384615384616,3998.272,0.02
cell230,2025-02-14 19:45:00,0.028846153846153844,729.088,0.005
cell230,2025-02-14 20:00:00,0.02692307692307692,738.376,0.005
cell230,2025-02-14 20:15:00,0.028846153846153844,1221.592,0.008
cell230,2025-02-14 20:30:00,0.025,630.8,0.006
cell230,2025-02-14 20:45:00,0.032692307692307694,1874.816,0.007
cell230,2025-02-14 21:00:00,0.0019230769230769232,92.08,0.001
cell230,2025-02-14 21:15:00,0.03076923076923077,1000.4,0.008
cell230,2025-02-14 21:30:00,0.04423076923076923,1155.16,0.01
cell230,2025-02-14 21:45:00,0.05,1792.808,0.025
cell230,2025-02-14 22:00:00,0.04615384615384615,341.848,0.004
cell230,2025-02-14 22:15:00,0.007692307692307693,108.24,0.003
cell230,2025-02-14 22:30:00,0.023076923076923075,873.768,0.008
cell230,2025-02-14 22:45:00,0.0,0.28,0.001
cell230,2025-02-14 23:00:00,0.3961538461538462,11067.536,0.08
cell230,2025-02-14 23:15:00,0.04807692307692308,1462.76,0.016
